Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,HasMortgage,HasDependents,HasCoSigner,LoanToIncome,EmploymentYears,CreditRisk,Education_high school,Education_master's,Education_phd,EmploymentType_part-time,EmploymentType_self-employed,EmploymentType_unemployed,MaritalStatus_married,MaritalStatus_single,LoanPurpose_business,LoanPurpose_education,LoanPurpose_home,LoanPurpose_other,InterestLevel_medium,InterestLevel_high,DTIBucket_medium,DTIBucket_high,DTIBucket_extreme,Default,prediction,cluster
31,33215,235022,771,67,3,10.53,36,0.9,1,0,0,7.075779016,5.583333333,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,47
23,37486,209844,498,12,2,4.4,12,0.61,1,1,0,5.597929894,1.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,37
60,45076,161301,603,62,1,8.7,12,0.52,1,1,1,3.578423108,5.166666667,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18
63,33511,22824,745,62,4,15.15,36,0.56,0,0,1,0.681089791,5.166666667,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,6
60,21491,88388,542,3,3,16.78,48,0.54,0,0,0,4.112791401,0.25,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,27
35,132162,6822,413,61,2,15.91,24,0.59,1,0,0,0.051618468,5.083333333,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,12
22,121398,124227,615,82,3,15.17,48,0.16,1,0,1,1.023303514,6.833333333,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6
35,127714,104614,546,101,2,18.21,48,0.41,1,0,1,0.819127112,8.416666667,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,7
34,107929,247567,664,33,2,17.03,36,0.51,0,0,0,2.293794995,2.75,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,6
63,15465,246960,342,95,4,8.11,12,0.22,0,0,0,15.96896217,7.916666667,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,35
57,142484,157059,446,43,1,9.76,24,0.89,1,0,1,1.102292187,3.583333333,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2
32,103465,74216,601,80,4,9.25,36,0.32,1,1,0,0.717305369,6.666666667,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19
23,42658,237719,781,66,3,18.71,12,0.48,1,1,0,5.572671011,5.5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,48
28,54704,240945,699,76,2,12.61,36,0.38,1,0,1,4.404522521,6.333333333,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,19
22,93122,175498,782,79,4,20.06,60,0.78,0,0,1,1.884602994,6.583333333,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,4
20,97016,26129,509,0,1,22.66,36,0.51,0,0,0,0.269326709,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,10
64,54645,210607,708,17,1,15.43,36,0.39,1,1,0,3.854094611,1.416666667,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,8
