Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,HasMortgage,HasDependents,HasCoSigner,Default,LoanToIncome,EmploymentYears,CreditRisk,Education_high school,Education_master's,Education_phd,EmploymentType_part-time,EmploymentType_self-employed,EmploymentType_unemployed,MaritalStatus_married,MaritalStatus_single,LoanPurpose_business,LoanPurpose_education,LoanPurpose_home,LoanPurpose_other,InterestLevel_medium,InterestLevel_high,DTIBucket_medium,DTIBucket_high,DTIBucket_extreme,y_true,y_pred,cluster
30,143756,106703,663,3,3,17.37,60,0.81,1,1,0,0,0.742250758,0.25,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6
65,30348,151148,618,98,4,17.77,60,0.44,0,1,0,0,4.980492948,8.166666667,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
37,30104,228096,810,64,1,3.63,48,0.52,0,1,0,0,7.576933298,5.333333333,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25
54,131336,130974,594,62,4,14.79,60,0.26,0,1,0,0,0.997243711,5.166666667,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,19
63,38176,52978,370,2,3,15.49,60,0.84,1,0,0,0,1.387730511,0.166666667,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,21
24,51454,119412,329,40,3,19.2,12,0.5,1,1,0,0,2.320752517,3.333333333,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,26
69,52821,245131,647,26,4,22.56,48,0.45,0,1,0,0,4.640786808,2.166666667,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,34
58,148755,192529,674,41,1,21.13,24,0.85,0,0,0,0,1.2942691,3.416666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,34
41,111980,132181,394,2,3,10.6,60,0.47,1,0,0,0,1.180398285,0.166666667,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
29,61749,27603,318,80,1,19.23,60,0.58,0,1,0,0,0.447019385,6.666666667,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
22,23696,217869,775,82,3,3.7,12,0.17,0,0,1,0,9.194336597,6.833333333,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,37
38,99216,180745,710,62,1,7.71,12,0.48,0,1,1,0,1.821732382,5.166666667,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,38
39,80735,51061,490,119,3,18.04,60,0.59,1,1,0,0,0.632451849,9.916666667,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,24
52,73024,186516,644,66,3,17.67,12,0.8,1,1,0,0,2.55417397,5.5,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,46
45,87102,14224,737,105,3,15.8,12,0.15,0,0,1,0,0.163302794,8.75,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42
25,97667,105901,347,112,2,16.32,36,0.22,1,1,0,0,1.084306879,9.333333333,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,27
52,107344,171304,742,81,4,24.79,36,0.36,1,1,1,0,1.595841407,6.75,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
36,143069,244567,784,23,4,3.64,60,0.67,1,1,0,0,1.70943391,1.916666667,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,47
68,139393,62327,774,37,4,19.05,24,0.49,1,0,1,0,0.447131492,3.083333333,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,26
40,36132,154781,619,116,3,7.2,12,0.47,0,0,1,0,4.283765084,9.666666667,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,13
47,97088,50479,824,103,2,22.17,24,0.21,1,0,1,0,0.519930372,8.583333333,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,46
63,106418,85994,781,22,2,11.52,36,0.15,0,1,1,0,0.808077581,1.833333333,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,7
61,96963,88094,368,75,1,21.64,48,0.76,1,1,0,0,0.90853212,6.25,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,29
58,69520,97037,362,61,1,10.24,48,0.66,1,1,0,0,1.395814154,5.083333333,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
36,29263,97345,635,58,4,14.09,24,0.75,0,0,1,0,3.326555719,4.833333333,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,20
30,32051,44803,760,48,2,23.29,12,0.56,1,1,0,0,1.397865901,4.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
55,33322,50734,318,17,3,8.68,36,0.52,0,0,0,0,1.522537663,1.416666667,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41
